[apexd.status]: [ready]
[init.svc.apexd-bootstrap]: [stopped]
[init.svc.ashmemd]: [running]
[init.svc.audioserver]: [running]
[init.svc.bootanim]: [stopped]
[init.svc.bpfloader]: [stopped]
[init.svc.camerahalserver]: [running]
[init.svc.cameraserver]: [running]
[init.svc.ccci_mdinit]: [running]
[init.svc.console]: [running]
[init.svc.drm]: [running]
[init.svc.fuelgauged]: [running]
[init.svc.gatekeeperd]: [running]
[init.svc.gnss_service]: [running]
[init.svc.gpu]: [running]
[init.svc.gpu-1-0]: [running]
[init.svc.gsid]: [stopped]
[init.svc.health-hal-2-0]: [running]
[init.svc.hidl_memory]: [running]
[init.svc.hwservicemanager]: [running]
[init.svc.idmap2d]: [stopped]
[init.svc.incidentd]: [running]
[init.svc.installd]: [running]
[init.svc.iorapd]: [stopped]
[init.svc.keystore]: [running]
[init.svc.lbs_hidl_service]: [running]
[init.svc.lmkd]: [running]
[init.svc.logd]: [running]
[init.svc.logd-auditctl]: [stopped]
[init.svc.logd-reinit]: [stopped]
[init.svc.mal-daemon]: [running]
[init.svc.media]: [running]
[init.svc.media.swcodec]: [running]
[init.svc.mediadrm]: [running]
[init.svc.mediaextractor]: [running]
[init.svc.mediametrics]: [running]
[init.svc.mnld]: [running]
[init.svc.mtk_hal_imsa]: [running]
[init.svc.mtk_hal_wfo]: [running]
[init.svc.netd]: [running]
[init.svc.netdagent]: [running]
[init.svc.nvram-hidl-1-1]: [running]
[init.svc.nvram_daemon]: [stopped]
[init.svc.power-hal-1-0]: [running]
[init.svc.pq-2-2]: [running]
[init.svc.servicemanager]: [running]
[init.svc.spm_script]: [stopped]
[init.svc.statsd]: [running]
[init.svc.storaged]: [running]
[init.svc.surfaceflinger]: [running]
[init.svc.system_suspend]: [running]
[init.svc.thermal]: [running]
[init.svc.thermal_manager]: [stopped]
[init.svc.thermalloadalgod]: [running]
[init.svc.tombstoned]: [running]
[init.svc.ueventd]: [running]
[init.svc.usbd]: [stopped]
[init.svc.vendor.audio-hal-2-0]: [running]
[init.svc.vendor.bluetooth-1-0]: [running]
[init.svc.vendor.cas-hal-1-1]: [running]
[init.svc.vendor.ccci_fsd]: [running]
[init.svc.vendor.ccci_rpcd]: [running]
[init.svc.vendor.configstore-hal]: [running]
[init.svc.vendor.drm-hal-1-0]: [running]
[init.svc.vendor.epdg_wod]: [running]
[init.svc.vendor.gatekeeper-1-0]: [running]
[init.svc.vendor.gralloc-2-0]: [running]
[init.svc.vendor.gsm0710muxd]: [running]
[init.svc.vendor.hwcomposer-2-1]: [running]
[init.svc.vendor.keymaster-3-0]: [running]
[init.svc.vendor.light-hal-2-0]: [running]
[init.svc.vendor.media.omx]: [running]
[init.svc.vendor.memtrack-hal-1-0]: [running]
[init.svc.vendor.ril-daemon-mtk]: [running]
[init.svc.vendor.ril-proxy]: [running]
[init.svc.vendor.sensors-hal-2-0]: [running]
[init.svc.vendor.thermal-hal-1-0]: [running]
[init.svc.vendor.usb-hal-1-1]: [running]
[init.svc.vendor.vibrator-1-0]: [running]
[init.svc.vendor.volte_imcb]: [running]
[init.svc.vendor.volte_stack]: [running]
[init.svc.vendor.volte_ua]: [running]
[init.svc.vendor.wifi_hal_legacy]: [running]
[init.svc.vndservicemanager]: [running]
[init.svc.vold]: [running]
[init.svc.wfca]: [running]
[init.svc.wificond]: [running]
[init.svc.wlan_assistant]: [running]
[init.svc.wmt_launcher]: [running]
[init.svc.wmt_loader]: [stopped]
[init.svc.wpa_supplicant]: [running]
[init.svc.zygote]: [running]
[init.svc.zygote_secondary]: [running]
[keyguard.no_require_sim]: [true]
[log.tag.APM_AudioPolicyManager]: [D]
[log.tag.MTK_FG]: [S]
[log.tag.WifiHAL]: [D]
[log.tag.stats_log]: [I]
[logd.logpersistd.enable]: [true]
[media.recorder.show_manufacturer_and_model]: [true]
[net.bt.name]: [Android]
[net.qtaguid_enabled]: [1]
[net.tcp.default_init_rwnd]: [60]
[net.tethering.noprovisioning]: [true]
[persist.adb.nonblocking_ffs]: [0]
[persist.bluetooth.btsnoopdefaultmode]: []
[persist.dbg.vt_avail_ovr]: [0]
[persist.dbg.wfc_avail_ovr]: [0]
[persist.dbg.wfc_avail_ovr0]: [0]
[persist.dbg.wfc_avail_ovr1]: [0]
[persist.debug.dalvik.vm.core_platform_api_policy]: [just-warn]
[persist.device_config.attempted_boot_count]: [0]
[persist.radio.multisim.config]: [dsds]
[persist.sys.boot.reason]: []
[persist.sys.boot.reason.history]: [reboot,factory_reset,1788754732
bootloader,1788754563]
[persist.sys.dalvik.vm.lib.2]: [libart.so]
[persist.sys.device_provisioned]: [1]
[persist.sys.displayinset.top]: [0]
[persist.sys.dun.override]: [0]
[persist.sys.gps.lpp]: []
[persist.sys.isolated_storage]: [true]
[persist.sys.locale]: [zh-CN]
[persist.sys.theme]: [1]
[persist.sys.timezone]: [Europe/Amsterdam]
[persist.sys.usb.config]: [adb]
[persist.vendor.audiohal.besloudness_state]: [1]
[persist.vendor.audiohal.firstboot]: [0]
[persist.vendor.connsys.chipid]: [0x6755]
[persist.vendor.connsys.patch.version]: [20200629194517a]
[persist.vendor.ims_support]: [1]
[persist.vendor.mims_support]: [1]
[persist.vendor.mtk.ims.video.enable]: [0]
[persist.vendor.mtk.vilte.enable]: [0]
[persist.vendor.mtk.viwifi.enable]: [0]
[persist.vendor.mtk.volte.enable]: [1]
[persist.vendor.mtk.wfc.enable]: [0]
[persist.vendor.mtk_ct_volte_support]: [1]
[persist.vendor.mtk_dynamic_ims_switch]: [1]
[persist.vendor.mtk_rcs_ua_support]: [0]
[persist.vendor.mtk_rtt_support]: [0]
[persist.vendor.mtk_wfc_support]: [1]
[persist.vendor.radio.fd.counter]: [150]
[persist.vendor.radio.fd.off.counter]: [50]
[persist.vendor.radio.fd.off.r8.counter]: [50]
[persist.vendor.radio.fd.r8.counter]: [150]
[persist.vendor.radio.ia]: [89860125801351200730,IPV4V6,3,,0,IPV4V6]
[persist.vendor.radio.ia-apn]: [3gnet]
[persist.vendor.radio.ia-pwd-flag]: [0]
[persist.vendor.radio.msimmode]: [dsds]
[persist.vendor.radio.mtk_dsbp_support]: [1]
[persist.vendor.radio.mtk_ps2_rat]: [W/G]
[persist.vendor.radio.nitz_oper_code]: [20404]
[persist.vendor.radio.nitz_oper_lname]: [vodafone NL]
[persist.vendor.radio.nitz_oper_sname]: []
[persist.vendor.radio.sim.opid]: [2]
[persist.vendor.radio.simswitch]: [1]
[persist.vendor.radio.wfc_state]: [0]
[persist.vendor.sys.pq.adl.idx]: [0]
[persist.vendor.sys.pq.bluelight.default]: [128]
[persist.vendor.sys.pq.hdr.en]: [1]
[persist.vendor.sys.pq.hfg.en]: [2]
[persist.vendor.sys.pq.iso.shp.en]: [2]
[persist.vendor.sys.pq.mdp.ccorr.en]: [0]
[persist.vendor.sys.pq.mdp.color.dbg]: [1]
[persist.vendor.sys.pq.mdp.color.idx]: [0]
[persist.vendor.sys.pq.mdp.dre.en]: [2]
[persist.vendor.sys.pq.mdp.hdrvp.dre.en]: [2]
[persist.vendor.sys.pq.mdp.vp.dre.en]: [1]
[persist.vendor.sys.pq.shp.idx]: [2]
[persist.vendor.sys.pq.ultrares.en]: [2]
[persist.vendor.vilte_support]: [0]
[persist.vendor.viwifi_support]: [0]
[persist.vendor.volte_support]: [1]
[persist.vendor.wfc.sys_wfc_support]: [1]
[pm.dexopt.ab-ota]: [speed-profile]
[pm.dexopt.bg-dexopt]: [speed-profile]
[pm.dexopt.boot]: [verify]
[pm.dexopt.first-boot]: [quicken]
[pm.dexopt.inactive]: [verify]
[pm.dexopt.install]: [speed-profile]
[pm.dexopt.shared]: [speed]
[ril.ecclist]: [112,911]
[ril.ecclist1]: [112,911]
[ro.actionable_compatible_property.enabled]: [false]
[ro.adb.secure]: [0]
[ro.allow.mock.location]: [0]
[ro.baseband]: [unknown]
[ro.bionic.2nd_arch]: [arm]
[ro.bionic.2nd_cpu_variant]: [cortex-a53]
[ro.bionic.arch]: [arm64]
[ro.bionic.cpu_variant]: [cortex-a53]
[ro.board.platform]: [mt6755]
[ro.boot.atm]: [disabled]
[ro.boot.boot_devices]: [bootdevice,11230000.mmc]
[ro.boot.bootreason]: [reboot]
[ro.boot.dtb_idx]: [0]
[ro.boot.dtbo_idx]: [0]
[ro.boot.hardware]: [mt6755]
[ro.boot.meta_log_disable]: [0]
[ro.boot.mode]: [normal]
[ro.boot.selinux]: [permissive]
[ro.boot.serialno]: [0123456789ABCDEF]
[ro.boot.verifiedbootstate]: [orange]
[ro.boot.veritymode]: [enforcing]
[ro.bootimage.build.date]: [Mon Sep 7 05:34:12 CEST 2026]
[ro.bootimage.build.date.utc]: [1788752052]
[ro.bootimage.build.fingerprint]: [XSH/lineage_k50sv1_64_bsp/k50sv1_64_bsp:10/QQ3A.200805.001/desmond09070534:userdebug/test-keys]
[ro.bootloader]: [unknown]
[ro.bootmode]: [normal]
[ro.boottime.adb_root]: [12918428692]
[ro.boottime.adbd]: [12539402076]
[ro.boottime.agpsd]: [13038967153]
[ro.boottime.apexd]: [11611305538]
[ro.boottime.apexd-bootstrap]: [1582365845]
[ro.boottime.ashmemd]: [12368559076]
[ro.boottime.audioserver]: [12373488076]
[ro.boottime.bootanim]: [13812357230]
[ro.boottime.bpfloader]: [12922564461]
[ro.boottime.camerahalserver]: [12997968692]
[ro.boottime.cameraserver]: [12927119153]
[ro.boottime.ccci_mdinit]: [12405103461]
[ro.boottime.console]: [12531129692]
[ro.boottime.drm]: [12932722307]
[ro.boottime.fuelgauged]: [12396130076]
[ro.boottime.gatekeeperd]: [13126040230]
[ro.boottime.gnss_service]: [12241946922]
[ro.boottime.gpu]: [12382302846]
[ro.boottime.gpu-1-0]: [12295765230]
[ro.boottime.gsid]: [211776997550]
[ro.boottime.health-hal-2-0]: [12255702769]
[ro.boottime.hidl_memory]: [12212002230]
[ro.boottime.hwservicemanager]: [2463011383]
[ro.boottime.idmap2d]: [12936850307]
[ro.boottime.incidentd]: [12941033922]
[ro.boottime.init]: [767]
[ro.boottime.init.cold_boot_wait]: [528]
[ro.boottime.init.mount_all.default]: [8765]
[ro.boottime.init.selinux]: [198]
[ro.boottime.installd]: [12945375692]
[ro.boottime.keystore]: [12954296538]
[ro.boottime.lbs_hidl_service]: [12290531230]
[ro.boottime.lmkd]: [12386407692]
[ro.boottime.logd]: [2448158614]
[ro.boottime.logd-auditctl]: [182090775856]
[ro.boottime.logd-reinit]: [12098824076]
[ro.boottime.mal-daemon]: [12419620999]
[ro.boottime.media]: [12973624076]
[ro.boottime.media.swcodec]: [13095076384]
[ro.boottime.mediadrm]: [12958742538]
[ro.boottime.mediaextractor]: [12964218384]
[ro.boottime.mediametrics]: [12968717384]
[ro.boottime.mnld]: [13002946230]
[ro.boottime.mtk_hal_imsa]: [12300562845]
[ro.boottime.mtk_hal_wfo]: [12363699999]
[ro.boottime.netd]: [12132449384]
[ro.boottime.netdagent]: [13226417922]
[ro.boottime.nvram-hidl-1-1]: [12318668307]
[ro.boottime.nvram_daemon]: [12428819461]
[ro.boottime.power-hal-1-0]: [12306398384]
[ro.boottime.pq-2-2]: [13046411922]
[ro.boottime.servicemanager]: [2451714153]
[ro.boottime.spm_script]: [12432966307]
[ro.boottime.statsd]: [12979640769]
[ro.boottime.storaged]: [12985905615]
[ro.boottime.surfaceflinger]: [12391487999]
[ro.boottime.system_suspend]: [11438411153]
[ro.boottime.thermal]: [13008127615]
[ro.boottime.thermal_manager]: [13015289230]
[ro.boottime.thermalloadalgod]: [13020616461]
[ro.boottime.tombstoned]: [13192224307]
[ro.boottime.ueventd]: [1577849229]
[ro.boottime.usbd]: [13208311999]
[ro.boottime.vendor.audio-hal-2-0]: [12215719461]
[ro.boottime.vendor.bluetooth-1-0]: [12219652769]
[ro.boottime.vendor.cas-hal-1-1]: [12224100615]
[ro.boottime.vendor.ccci_fsd]: [12400536461]
[ro.boottime.vendor.ccci_rpcd]: [12409728692]
[ro.boottime.vendor.configstore-hal]: [12228268615]
[ro.boottime.vendor.drm-hal-1-0]: [12232522769]
[ro.boottime.vendor.epdg_wod]: [13220794615]
[ro.boottime.vendor.gatekeeper-1-0]: [12237592922]
[ro.boottime.vendor.gralloc-2-0]: [12246223692]
[ro.boottime.vendor.gsm0710muxd]: [14898976923]
[ro.boottime.vendor.hwcomposer-2-1]: [12251017922]
[ro.boottime.vendor.keymaster-3-0]: [11442705461]
[ro.boottime.vendor.light-hal-2-0]: [12259895307]
[ro.boottime.vendor.media.omx]: [13062927769]
[ro.boottime.vendor.memtrack-hal-1-0]: [12264355845]
[ro.boottime.vendor.ril-daemon-mtk]: [16682618077]
[ro.boottime.vendor.ril-proxy]: [17939946692]
[ro.boottime.vendor.sensors-hal-2-0]: [12268022076]
[ro.boottime.vendor.thermal-hal-1-0]: [12276070230]
[ro.boottime.vendor.usb-hal-1-1]: [12280424538]
[ro.boottime.vendor.vibrator-1-0]: [12284617769]
[ro.boottime.vendor.volte_imcb]: [182406955548]
[ro.boottime.vendor.volte_stack]: [182384899625]
[ro.boottime.vendor.volte_ua]: [182397192856]
[ro.boottime.vendor.wifi_hal_legacy]: [168393450316]
[ro.boottime.vndservicemanager]: [2474563922]
[ro.boottime.vold]: [2508228230]
[ro.boottime.wfca]: [12424146769]
[ro.boottime.wificond]: [12991817230]
[ro.boottime.wlan_assistant]: [13034078230]
[ro.boottime.wmt_launcher]: [11453946769]
[ro.boottime.wmt_loader]: [11446801845]
[ro.boottime.wpa_supplicant]: [169595592163]
[ro.boottime.zygote]: [12136150999]
[ro.boottime.zygote_secondary]: [12148410999]
[ro.build.characteristics]: [default]
[ro.build.date]: [Mon Sep  7 05:34:12 CEST 2026]
[ro.build.date.utc]: [1788752052]
[ro.build.description]: [coral-user 10 QQ3A.200805.001 6578210 release-keys]
[ro.build.display.id]: [QQ3A.200805.001]
[ro.build.fingerprint]: [google/coral/coral:10/QQ3A.200805.001/6578210:user/release-keys]
[ro.build.flavor]: [lineage_k50sv1_64_bsp-userdebug]
[ro.build.host]: [AtomMan-G7-PT]
[ro.build.id]: [QQ3A.200805.001]
[ro.build.product]: [k50sv1_64_bsp]
[ro.build.system_root_image]: [false]
[ro.build.tags]: [test-keys]
[ro.build.type]: [userdebug]
[ro.build.user]: [desmond]
[ro.build.version.all_codenames]: [REL]
[ro.build.version.base_os]: []
[ro.build.version.codename]: [REL]
[ro.build.version.incremental]: [eng.desmon.20260907.053434]
[ro.build.version.min_supported_target_sdk]: [23]
[ro.build.version.preview_sdk]: [0]
[ro.build.version.preview_sdk_fingerprint]: [REL]
[ro.build.version.release]: [10]
[ro.build.version.sdk]: [29]
[ro.build.version.security_patch]: [2023-02-05]
[ro.carrier]: [unknown]
[ro.com.google.clientidbase]: [android-google]
[ro.config.alarm_alert]: [Hassium.ogg]
[ro.config.notification_sound]: [Argon.ogg]
[ro.config.per_app_memcg]: [false]
[ro.config.ringtone]: [Orion.ogg]
[ro.control_privapp_permissions]: [log]
[ro.crypto.state]: [unsupported]
[ro.dalvik.vm.native.bridge]: [0]
[ro.debuggable]: [1]
[ro.device_owner]: [false]
[ro.frp.pst]: [/dev/block/platform/mtk-msdc.0/11230000.msdc0/by-name/frp]
[ro.gsid.image_running]: [0]
[ro.hardware]: [mt6755]
[ro.hardware.egl]: [mali]
[ro.hwui.use_vulkan]: []
[ro.iorapd.enable]: [false]
[ro.lineage.build.version]: [17.1]
[ro.lineage.build.version.plat.rev]: [0]
[ro.lineage.build.version.plat.sdk]: [9]
[ro.lineage.device]: [k50sv1_64_bsp]
[ro.lineage.display.version]: [17.1-20260907-UNOFFICIAL-k50sv1_64_bsp]
[ro.lineage.releasetype]: [UNOFFICIAL]
[ro.lineage.version]: [17.1-20260907-UNOFFICIAL-k50sv1_64_bsp]
[ro.lineagelegal.url]: [https://lineageos.org/legal]
[ro.logd.size]: [1M]
[ro.logd.size.main]: [8M]
[ro.logd.size.radio]: [32M]
[ro.logd.size.stats]: [64K]
[ro.minui.pixel_format]: [RGBX_8888]
[ro.modversion]: [17.1-20260907-UNOFFICIAL-k50sv1_64_bsp]
[ro.odm.build.date]: [Mon Sep  7 05:34:12 CEST 2026]
[ro.odm.build.date.utc]: [1788752052]
[ro.odm.build.fingerprint]: [XSH/lineage_k50sv1_64_bsp/k50sv1_64_bsp:10/QQ3A.200805.001/desmond09070534:userdebug/test-keys]
[ro.odm.build.id]: [QQ3A.200805.001]
[ro.odm.build.tags]: [test-keys]
[ro.odm.build.type]: [userdebug]
[ro.odm.build.version.incremental]: [eng.desmon.20260907.053434]
[ro.odm.build.version.release]: [10]
[ro.odm.build.version.sdk]: [29]
[ro.odm.product.cpu.abilist]: [arm64-v8a,armeabi-v7a,armeabi]
[ro.odm.product.cpu.abilist32]: [armeabi-v7a,armeabi]
[ro.odm.product.cpu.abilist64]: [arm64-v8a]
[ro.opengles.version]: [196610]
[ro.persistent_properties.ready]: [true]
[ro.postinstall.fstab.prefix]: [/system]
[ro.product.board]: [k50sv1_64_bsp]
[ro.product.brand]: [google]
[ro.product.cpu.abi]: [arm64-v8a]
[ro.product.cpu.abilist]: [arm64-v8a,armeabi-v7a,armeabi]
[ro.product.cpu.abilist32]: [armeabi-v7a,armeabi]
[ro.product.cpu.abilist64]: [arm64-v8a]
[ro.product.device]: [coral]
[ro.product.first_api_level]: [26]
[ro.product.locale]: [en-US]
[ro.product.manufacturer]: [Google]
[ro.product.model]: [Pixel 4 XL]
[ro.product.name]: [coral]
[ro.product.odm.brand]: [XSH]
[ro.product.odm.device]: [k50sv1_64_bsp]
[ro.product.odm.manufacturer]: [XSH]
[ro.product.odm.model]: [F212]
[ro.product.odm.name]: [lineage_k50sv1_64_bsp]
[ro.product.product.brand]: [google]
[ro.product.product.device]: [coral]
[ro.product.product.manufacturer]: [Google]
[ro.product.product.model]: [Pixel 4 XL]
[ro.product.product.name]: [coral]
[ro.product.system.brand]: [XSH]
[ro.product.system.device]: [k50sv1_64_bsp]
[ro.product.system.manufacturer]: [XSH]
[ro.product.system.model]: [F212]
[ro.product.system.name]: [lineage_k50sv1_64_bsp]
[ro.product.vendor.brand]: [XSH]
[ro.product.vendor.device]: [k50sv1_64_bsp]
[ro.product.vendor.manufacturer]: [XSH]
[ro.product.vendor.model]: [F212]
[ro.product.vendor.name]: [lineage_k50sv1_64_bsp]
[ro.property_service.version]: [2]
[ro.revision]: [0]
[ro.runtime.firstboot]: [1788754761245]
[ro.secure]: [1]
[ro.serialno]: [0123456789ABCDEF]
[ro.sf.lcd_density]: [320]
[ro.storage_manager.enabled]: [true]
[ro.system.build.date]: [Mon Sep  7 05:34:12 CEST 2026]
[ro.system.build.date.utc]: [1788752052]
[ro.system.build.fingerprint]: [XSH/lineage_k50sv1_64_bsp/k50sv1_64_bsp:10/QQ3A.200805.001/desmond09070534:userdebug/test-keys]
[ro.system.build.id]: [QQ3A.200805.001]
[ro.system.build.tags]: [test-keys]
[ro.system.build.type]: [userdebug]
[ro.system.build.version.incremental]: [eng.desmon.20260907.053434]
[ro.system.build.version.release]: [10]
[ro.system.build.version.sdk]: [29]
[ro.telephony.default_network]: [9,0]
[ro.telephony.iwlan_operation_mode]: [legacy]
[ro.treble.enabled]: [true]
[ro.vendor.build.date]: [Mon Sep  7 05:34:12 CEST 2026]
[ro.vendor.build.date.utc]: [1788752052]
[ro.vendor.build.fingerprint]: [XSH/lineage_k50sv1_64_bsp/k50sv1_64_bsp:10/QQ3A.200805.001/desmond09070534:userdebug/test-keys]
[ro.vendor.build.id]: [QQ3A.200805.001]
[ro.vendor.build.security_patch]: [2020-08-05]
[ro.vendor.build.tags]: [test-keys]
[ro.vendor.build.type]: [userdebug]
[ro.vendor.build.version.incremental]: [eng.desmon.20260907.053434]
[ro.vendor.build.version.release]: [10]
[ro.vendor.build.version.sdk]: [29]
[ro.vendor.md_auto_setup_ims]: [0]
[ro.vendor.md_log_memdump_wait]: [15]
[ro.vendor.md_mims_support]: [1]
[ro.vendor.md_prop_ver]: [1]
[ro.vendor.mtk_c2k_lte_mode]: [0]
[ro.vendor.mtk_config_max_dram_size]: [0x800000000]
[ro.vendor.mtk_eccci_c2k]: [1]
[ro.vendor.mtk_embms_support]: [1]
[ro.vendor.mtk_external_sim_only_slots]: [0]
[ro.vendor.mtk_fd_support]: [1]
[ro.vendor.mtk_flight_mode_power_off_md]: [1]
[ro.vendor.mtk_log_hide_gps]: [0]
[ro.vendor.mtk_lte_support]: [1]
[ro.vendor.mtk_md1_support]: [10]
[ro.vendor.mtk_md_world_mode_support]: [1]
[ro.vendor.mtk_pq_color_mode]: [1]
[ro.vendor.mtk_pq_support]: [2]
[ro.vendor.mtk_protocol1_rat_config]: [Lf/Lt/W/T/G]
[ro.vendor.mtk_ps1_rat]: [Lf/Lt/W/T/G]
[ro.vendor.mtk_ril_mode]: [c6m_3rild]
[ro.vendor.mtk_telephony_add_on_policy]: [0]
[ro.vendor.mtk_world_phone_policy]: [0]
[ro.vendor.mtk_zsdhdr_support]: [1]
[ro.vendor.product.cpu.abilist]: [arm64-v8a,armeabi-v7a,armeabi]
[ro.vendor.product.cpu.abilist32]: [armeabi-v7a,armeabi]
[ro.vendor.product.cpu.abilist64]: [arm64-v8a]
[ro.vendor.radio.max.multisim]: [dsds]
[ro.vendor.sim_me_lock_mode]: [0]
[ro.vendor.wlan.gen]: [gen2]
[ro.vndk.version]: [29]
[ro.wifi.channels]: []
[ro.zygote]: [zygote64_32]
[security.perf_harden]: [1]
[selinux.restorecon_recursive]: [/data/misc_ce/0]
[service.adb.root]: [1]
[service.bootanim.exit]: [1]
[service.sf.present_timestamp]: [1]
[sys.boot.reason]: [reboot,factory_reset]
[sys.boot.reason.last]: [bootloader]
[sys.boot_completed]: [1]
[sys.isolated_storage_snapshot]: [true]
[sys.lineage_settings_secure_version]: [1]
[sys.lineage_settings_system_version]: [1]
[sys.lmk.minfree_levels]: [18432:0,23040:100,27648:200,32256:250,55296:900,80640:950]
[sys.logbootcomplete]: [1]
[sys.oem_unlock_allowed]: [0]
[sys.retaildemo.enabled]: [0]
[sys.sysctl.extra_free_kbytes]: [13162]
[sys.system_server.start_count]: [1]
[sys.system_server.start_elapsed]: [17345]
[sys.system_server.start_uptime]: [17345]
[sys.usb.config]: [adb]
[sys.usb.configfs]: [0]
[sys.usb.controller]: [musb-hdrc]
[sys.usb.ffs.aio_compat]: [1]
[sys.usb.ffs.ready]: [1]
[sys.usb.state]: [adb]
[sys.use_memfd]: [false]
[sys.user.0.ce_available]: [true]
[sys.wifitracing.started]: [1]
[tombstoned.max_tombstone_count]: [50]
[vendor.cdma.ril.uicc.mccmnc]: [N/A]
[vendor.cdma.ril.uicc.mccmnc.1]: [N/A]
[vendor.connsys.driver.ready]: [yes]
[vendor.connsys.formeta.ready]: [yes]
[vendor.debug.pq.acaltm.dbg]: [0]
[vendor.debug.pq.adl.dbg]: [0]
[vendor.debug.pq.cz.isp.tuning]: [0]
[vendor.debug.pq.dre.dbg]: [0]
[vendor.debug.pq.dre.demowin.x]: [536805376]
[vendor.debug.pq.dre.isp.tuning]: [0]
[vendor.debug.pq.dredriver.blk]: [0]
[vendor.debug.pq.dredriver.dbg]: [0]
[vendor.debug.pq.dshp.en]: [2]
[vendor.debug.pq.hdr.dbg]: [0]
[vendor.debug.pq.hdrdriver.dbg]: [0]
[vendor.debug.pq.hfg.isp.tuning]: [0]
[vendor.debug.pq.shp.en]: [2]
[vendor.debug.sf.hdr_enable]: [0]
[vendor.debug.sf.hwc_pid]: [364]
[vendor.debug.sf.latch_unsignaled]: [1]
[vendor.gps.clock.type]: [20]
[vendor.gps.gps.version]: [0x6755]
[vendor.gsm.gcf.testmode]: [0]
[vendor.gsm.network.type]: [LTE]
[vendor.gsm.project.baseband]: [TK_MD_L4(LWCTG_MP5_6750S)]
[vendor.gsm.project.baseband.2]: [TK_MD_L4(LWCTG_MP5_6750S)]
[vendor.gsm.ril.ct3g]: [0]
[vendor.gsm.ril.ct3g.2]: [0]
[vendor.gsm.ril.eboot]: [-1]
[vendor.gsm.ril.uicc.mccmnc]: [46001]
[vendor.gsm.ril.uicc.mccmnc.1]: [46000]
[vendor.gsm.ril.uicctype]: [USIM]
[vendor.gsm.ril.uicctype.2]: [USIM]
[vendor.gsm.serial]: [MTK000251028213658000072                                    10]
[vendor.gsm.sim.retry.pin1]: [3]
[vendor.gsm.sim.retry.pin1.2]: [3]
[vendor.gsm.sim.retry.pin2]: [3]
[vendor.gsm.sim.retry.pin2.2]: [3]
[vendor.gsm.sim.retry.puk1]: [10]
[vendor.gsm.sim.retry.puk1.2]: [10]
[vendor.gsm.sim.retry.puk2]: [10]
[vendor.gsm.sim.retry.puk2.2]: [10]
[vendor.gsm.sim.ril.phbready]: [true,true]
[vendor.gsm.sim.ril.testsim]: [0]
[vendor.gsm.sim.ril.testsim.2]: [0]
[vendor.gsm.sim.slot.lock.card.valid]: [0]
[vendor.gsm.sim.slot.lock.card.valid.2]: [0]
[vendor.gsm.sim.slot.lock.policy]: [0]
[vendor.gsm.sim.slot.lock.service.capability]: [0]
[vendor.gsm.sim.slot.lock.service.capability.2]: [0]
[vendor.gsm.sim.slot.lock.state]: [1]
[vendor.mtk.md1.status]: [ready]
[vendor.mtk.nvram.ready]: [1]
[vendor.net.handover.rat]: [0]
[vendor.net.handover.thlte]: [-116,-111,-106]
[vendor.powerhal.init]: [1]
[vendor.ril.active.md]: [10]
[vendor.ril.apc.support]: [1]
[vendor.ril.c2kirat.ia.sim1]: [89860125801351200730,3gnet]
[vendor.ril.cdma.enhance.version]: [0]
[vendor.ril.data.allow.status]: [1,0]
