item	assessment	section	architecture	source_path	install_path	sha256	source_or_reason	current_payload	current_install_path	current_provider
RETAIN-ELF	matching_source_unknown	graphics	32	vendor/lib/libpq_cust.so	vendor/lib/libpq_cust.so	9c1b01d3e337c259d180e26ff397ea97dfc5e303684a64cf890c3be58e0dcc7b	No matching source implementation established in this bounded inventory; see family discussion	retained_unchanged	vendor/lib/libpq_cust.so	retained vendor payload
RETAIN-ELF	matching_source_unknown	graphics	32	vendor/lib/libpq_prot.so	vendor/lib/libpq_prot.so	7a59dafb18962e19062e5d663386ef2a9b9510952f5fa6f4898decf2a186d520	No matching source implementation established in this bounded inventory; see family discussion	retained_unchanged	vendor/lib/libpq_prot.so	retained vendor payload
RETAIN-ELF	matching_source_unknown	graphics	32	vendor/lib/vendor.mediatek.hardware.gpu@1.0.so	vendor/lib/vendor.mediatek.hardware.gpu@1.0.so	2e67edc2ce12ff478296b60b72f9e96f16cebd31e8b7a72d4d38191eeed7ccfd	No matching source implementation established in this bounded inventory; see family discussion	retained_unchanged	vendor/lib/vendor.mediatek.hardware.gpu@1.0.so	retained vendor payload
RETAIN-ELF	matching_source_unknown	graphics	32	vendor/lib/vendor.mediatek.hardware.mms@1.0.so	vendor/lib/vendor.mediatek.hardware.mms@1.0.so	a47d13d3cafe9448d3e9f550b7e5e837acdd7cfa5c24e5971cd4de34c24a5110	No matching source implementation established in this bounded inventory; see family discussion	retained_unchanged	vendor/lib/vendor.mediatek.hardware.mms@1.0.so	retained vendor payload
RETAIN-ELF	matching_source_unknown	graphics	32	vendor/lib/vendor.mediatek.hardware.mms@1.1.so	vendor/lib/vendor.mediatek.hardware.mms@1.1.so	a9d39346270dbe93db1ab60f43d75271125c487c0cf7b1108d08142857fa20c2	No matching source implementation established in this bounded inventory; see family discussion	retained_unchanged	vendor/lib/vendor.mediatek.hardware.mms@1.1.so	retained vendor payload
RETAIN-ELF	matching_source_unknown	graphics	32	vendor/lib/vendor.mediatek.hardware.mms@1.2.so	vendor/lib/vendor.mediatek.hardware.mms@1.2.so	6d312727c17b0de87f76d3a6e612651929b1a791052ec4a91a2cab4a5b400e4c	No matching source implementation established in this bounded inventory; see family discussion	retained_unchanged	vendor/lib/vendor.mediatek.hardware.mms@1.2.so	retained vendor payload
RETAIN-ELF	matching_source_unknown	graphics	32	vendor/lib/vendor.mediatek.hardware.mms@1.3.so	vendor/lib/vendor.mediatek.hardware.mms@1.3.so	0081b3ceca866ce6e83a3790654d750f3f5881d36626126ef8c290184e8baa57	No matching source implementation established in this bounded inventory; see family discussion	retained_unchanged	vendor/lib/vendor.mediatek.hardware.mms@1.3.so	retained vendor payload
RETAIN-ELF	matching_source_unknown	graphics	32	vendor/lib/vendor.mediatek.hardware.mms@1.4.so	vendor/lib/vendor.mediatek.hardware.mms@1.4.so	f4941565e144823d0ace7a47e362e085b311d44bf40efffa7862574a2563fb17	No matching source implementation established in this bounded inventory; see family discussion	retained_unchanged	vendor/lib/vendor.mediatek.hardware.mms@1.4.so	retained vendor payload
RETAIN-ELF	matching_source_unknown	graphics	32	vendor/lib/vendor.mediatek.hardware.mms@1.5.so	vendor/lib/vendor.mediatek.hardware.mms@1.5.so	eacd754097d2249f4ce79ce79f514d865f9cd26b3ce2a4ea3a6e444727d19683	No matching source implementation established in this bounded inventory; see family discussion	retained_unchanged	vendor/lib/vendor.mediatek.hardware.mms@1.5.so	retained vendor payload
RETAIN-ELF	matching_source_unknown	graphics	32	vendor/lib/vendor.mediatek.hardware.pq@2.0.so	vendor/lib/vendor.mediatek.hardware.pq@2.0.so	30878f6c763ccb2ab472720ed5debc3c6215b0cdd985f572d10aca77d25ec8e0	No matching source implementation established in this bounded inventory; see family discussion	retained_unchanged	vendor/lib/vendor.mediatek.hardware.pq@2.0.so	retained vendor payload
OWNED-LIB	delegated	graphics	64	vendor/lib64/hw/android.hardware.graphics.allocator@2.0-impl.so	vendor/lib64/hw/android.hardware.graphics.allocator@2.0-impl.so	8a8f18a08c0bebc96c1f936ca971dd16b06f02c0db7b4fb5bd3c8a5f4960aa65	AOSP graphics/audio/tinycompress ABI work owned by storage agent	removed_paired_source_provider	vendor/lib64/hw/android.hardware.graphics.allocator@2.0-impl.so	hardware/interfaces/graphics/allocator/2.0/default
OWNED-LIB	delegated	graphics	64	vendor/lib64/hw/android.hardware.graphics.composer@2.1-impl.so	vendor/lib64/hw/android.hardware.graphics.composer@2.1-impl.so	a3ace507225480020f0ae9e36be72f22a83714575b844f666841418fe3b0c98e	AOSP graphics/audio/tinycompress ABI work owned by storage agent	removed_paired_source_provider	vendor/lib64/hw/android.hardware.graphics.composer@2.1-impl.so	hardware/interfaces/graphics/composer/2.1/default
OWNED-LIB	delegated	graphics	64	vendor/lib64/hw/android.hardware.graphics.mapper@2.0-impl.so	vendor/lib64/hw/android.hardware.graphics.mapper@2.0-impl.so	2cfcf1a23d910303fd2becd627c938915ba19886dc69adb90a44784f597c33c6	AOSP graphics/audio/tinycompress ABI work owned by storage agent	removed_paired_source_provider	vendor/lib64/hw/android.hardware.graphics.mapper@2.0-impl.so	hardware/interfaces/graphics/mapper/2.0/default
RETAIN-ELF	matching_source_unknown	graphics	64	vendor/lib64/hw/gralloc.mt6755.so	vendor/lib64/hw/gralloc.mt6755.so	43ad8caea725f27a9b170ddcbee4372cb6d15a50e163ee5bcdd5f643b69e49dd	No matching source implementation established in this bounded inventory; see family discussion	retained_unchanged	vendor/lib64/hw/gralloc.mt6755.so	retained vendor payload
RETAIN-ELF	matching_source_unknown	graphics	64	vendor/lib64/hw/hwcomposer.mt6755.so	vendor/lib64/hw/hwcomposer.mt6755.so	d45df81bf83ea0d4319b0f87d35e3a215ff646bb4489e948d62a9b986be03c14	No matching source implementation established in this bounded inventory; see family discussion	retained_unchanged	vendor/lib64/hw/hwcomposer.mt6755.so	retained vendor payload
RETAIN-ELF	matching_source_unknown	graphics	64	vendor/lib64/egl/libGLES_mali.so	vendor/lib64/egl/libGLES_mali.so	0d1d838ffc712e06064561fbfc8db3aa753fdc75078f6ffb5585c7edef6e30d4	No matching source implementation established in this bounded inventory; see family discussion	retained_unchanged	vendor/lib64/egl/libGLES_mali.so	retained vendor payload
RETAIN-ELF	matching_source_unknown	graphics	64	vendor/lib64/libaal_key.so	vendor/lib64/libaal_key.so	f814e281f2323e4bd82d95b1d2bd4830abeae2fa04bff0b51673c0490f129978	No matching source implementation established in this bounded inventory; see family discussion	retained_unchanged	vendor/lib64/libaal_key.so	retained vendor payload
RETAIN-ELF	matching_source_unknown	graphics	64	vendor/lib64/libaal_cust.so	vendor/lib64/libaal_cust.so	ff462a744ea313c9f0c704b9387e6469a1091c9790a8d4c2b50945a54d8f2591	No matching source implementation established in this bounded inventory; see family discussion	retained_unchanged	vendor/lib64/libaal_cust.so	retained vendor payload
RETAIN-ELF	matching_source_unknown	graphics	64	vendor/lib64/libaal_mtk.so	vendor/lib64/libaal_mtk.so	8f5e068f22f44e403f17d682ceda9fc4d03b2de80f2dc3cb2ba387da94aa205d	No matching source implementation established in this bounded inventory; see family discussion	retained_unchanged	vendor/lib64/libaal_mtk.so	retained vendor payload
RETAIN-ELF	matching_source_unknown	graphics	64	vendor/lib64/libaalservice.so	vendor/lib64/libaalservice.so	a99d6db50711da12cf9fd5f2a825884e5bad89b3a1641d0bbe5466c4966404bf	No matching source implementation established in this bounded inventory; see family discussion	retained_unchanged	vendor/lib64/libaalservice.so	retained vendor payload
RETAIN-ELF	matching_source_unknown	graphics	64	vendor/lib64/libdpframework.so	vendor/lib64/libdpframework.so	0a3bce18e02ea697d97e25939685d1dcf2d669f0c4a36f4ecb2b983c31190542	No matching source implementation established in this bounded inventory; see family discussion	retained_unchanged	vendor/lib64/libdpframework.so	retained vendor payload
RETAIN-ELF	matching_source_unknown	graphics	64	vendor/lib64/libged.so	vendor/lib64/libged.so	a99d362e36b9c3066bfdfe37b68350e315613285ed70bbd2cbf79780ad90e566	No matching source implementation established in this bounded inventory; see family discussion	retained_unchanged	vendor/lib64/libged.so	retained vendor payload
RETAIN-ELF	matching_source_unknown	graphics	64	vendor/lib64/libgpu_aux.so	vendor/lib64/libgpu_aux.so	462e7c3542bbae6c9baa52973bb188ebfeb34cd65b95f65886f17848e28f401c	No matching source implementation established in this bounded inventory; see family discussion	retained_unchanged	vendor/lib64/libgpu_aux.so	retained vendor payload
RETAIN-ELF	matching_source_unknown	graphics	64	vendor/lib64/libgpud.so	vendor/lib64/libgpud.so	63f8e4acc38567e6e65b3752170ec3a416b8863154b05a8a965808f242fdf040	No matching source implementation established in this bounded inventory; see family discussion	retained_unchanged	vendor/lib64/libgpud.so	retained vendor payload
RETAIN-ELF	matching_source_unknown	graphics	64	vendor/lib64/libgralloc_extra.so	vendor/lib64/libgralloc_extra.so	e1605c7911757612d1eba1f2a0a791b0007994c5712f18934e3e033a24eaf53d	No matching source implementation established in this bounded inventory; see family discussion	retained_unchanged	vendor/lib64/libgralloc_extra.so	retained vendor payload
RETAIN-ELF	matching_source_unknown	graphics	64	vendor/lib64/libion_mtk.so	vendor/lib64/libion_mtk.so	967fa4db28e4e600f2f5d50ac364d20b994f8e9ba6306c8d629c41bd8f4c72ad	No matching source implementation established in this bounded inventory; see family discussion	retained_unchanged	vendor/lib64/libion_mtk.so	retained vendor payload
RETAIN-ELF	matching_source_unknown	graphics	64	vendor/lib64/libion_ulit.so	vendor/lib64/libion_ulit.so	3b30b53ff2497976912a4c918c827fd8a7d52ea740c1fa39ccf089b2b1b5dc48	No matching source implementation established in this bounded inventory; see family discussion	retained_unchanged	vendor/lib64/libion_ulit.so	retained vendor payload
SR21	public_stub_not_equivalent	graphics	64	vendor/lib64/libladder.so	vendor/lib64/libladder.so	3f13bb15aa48eb09f3c59b29ec570dda2b013408a684fa058fb5368641ee987c	LineageOS MTK public stubs omit diagnostic or performance behavior	retained_unchanged	vendor/lib64/libladder.so	retained vendor payload
RETAIN-ELF	matching_source_unknown	graphics	64	vendor/lib64/libJpgEncPipe.so	vendor/lib64/libJpgEncPipe.so	f18004d926e876e709c5d8b81a9055ab1d284dc9fe84c560b53dfca3b957b647	No matching source implementation established in this bounded inventory; see family discussion	retained_unchanged	vendor/lib64/libJpgEncPipe.so	retained vendor payload
RETAIN-ELF	matching_source_unknown	graphics	64	vendor/lib64/libjpeg-alpha-oal_vendor.so	vendor/lib64/libjpeg-alpha-oal_vendor.so	15c092e9695d29efa53082b05006df91735e633ff6edca4dfa960c1025882293	No matching source implementation established in this bounded inventory; see family discussion	retained_unchanged	vendor/lib64/libjpeg-alpha-oal_vendor.so	retained vendor payload
RETAIN-ELF	matching_source_unknown	graphics	64	vendor/lib64/libjpeg-alpha_vendor.so	vendor/lib64/libjpeg-alpha_vendor.so	f054df4afee1a3c4f9ee7a78fd9acf7206f4509481ac397e88dbdaf8c8e5c178	No matching source implementation established in this bounded inventory; see family discussion	retained_unchanged	vendor/lib64/libjpeg-alpha_vendor.so	retained vendor payload
RETAIN-ELF	matching_source_unknown	graphics	64	vendor/lib64/libm4u.so	vendor/lib64/libm4u.so	c3db8d933ea97773bbfcb2da868807644461206431f356d9c43b04968c643fe3	No matching source implementation established in this bounded inventory; see family discussion	retained_unchanged	vendor/lib64/libm4u.so	retained vendor payload
SR21	public_stub_not_equivalent	graphics	64	vendor/lib64/libmtkperf_client_vendor.so	vendor/lib64/libmtkperf_client_vendor.so	114959cd51c135f042a693e6e25dc18e908d1eaaece6ccdaf6ba24974119cec6	LineageOS MTK public stubs omit diagnostic or performance behavior	retained_unchanged	vendor/lib64/libmtkperf_client_vendor.so	retained vendor payload
RETAIN-ELF	matching_source_unknown	graphics	64	vendor/lib64/libpq_cust.so	vendor/lib64/libpq_cust.so	23360f4db322716931a677e720360040022e73bfebcb2e02769906a4f9aab16f	No matching source implementation established in this bounded inventory; see family discussion	retained_unchanged	vendor/lib64/libpq_cust.so	retained vendor payload
RETAIN-ELF	matching_source_unknown	graphics	64	vendor/lib64/libpq_prot.so	vendor/lib64/libpq_prot.so	74036bc8453fc2505f61d628f2947736b653dbf479cf5e250feae39bc1d8cdd8	No matching source implementation established in this bounded inventory; see family discussion	retained_unchanged	vendor/lib64/libpq_prot.so	retained vendor payload
RETAIN-ELF	matching_source_unknown	graphics	64	vendor/lib64/vendor.mediatek.hardware.gpu@1.0.so	vendor/lib64/vendor.mediatek.hardware.gpu@1.0.so	03485b9903f5b6c2dc9a2290aadc3ee47b9d4f011f6ea6a3d82607aa73836048	No matching source implementation established in this bounded inventory; see family discussion	retained_unchanged	vendor/lib64/vendor.mediatek.hardware.gpu@1.0.so	retained vendor payload
RETAIN-ELF	matching_source_unknown	graphics	64	vendor/lib64/vendor.mediatek.hardware.mms@1.0.so	vendor/lib64/vendor.mediatek.hardware.mms@1.0.so	af61ecd7609f02c2fe09b90d933eb196aac3e2eb43c5719b80d5b6fdb3e0b59a	No matching source implementation established in this bounded inventory; see family discussion	retained_unchanged	vendor/lib64/vendor.mediatek.hardware.mms@1.0.so	retained vendor payload
RETAIN-ELF	matching_source_unknown	graphics	64	vendor/lib64/vendor.mediatek.hardware.mms@1.1.so	vendor/lib64/vendor.mediatek.hardware.mms@1.1.so	9544986bc5312f13f411abac7b75bd221a780195beb8a695adbe656832f89cb0	No matching source implementation established in this bounded inventory; see family discussion	retained_unchanged	vendor/lib64/vendor.mediatek.hardware.mms@1.1.so	retained vendor payload
RETAIN-ELF	matching_source_unknown	graphics	64	vendor/lib64/vendor.mediatek.hardware.mms@1.2.so	vendor/lib64/vendor.mediatek.hardware.mms@1.2.so	8f9b76898a36b785b9394372f119445887915d26360dd7a36e435d71836193cd	No matching source implementation established in this bounded inventory; see family discussion	retained_unchanged	vendor/lib64/vendor.mediatek.hardware.mms@1.2.so	retained vendor payload
RETAIN-ELF	matching_source_unknown	graphics	64	vendor/lib64/vendor.mediatek.hardware.mms@1.3.so	vendor/lib64/vendor.mediatek.hardware.mms@1.3.so	1c066ca9ac8381dc4f38f60254fa0db47b25310ad6e078ce04a3923953cce936	No matching source implementation established in this bounded inventory; see family discussion	retained_unchanged	vendor/lib64/vendor.mediatek.hardware.mms@1.3.so	retained vendor payload
RETAIN-ELF	matching_source_unknown	graphics	64	vendor/lib64/vendor.mediatek.hardware.mms@1.4.so	vendor/lib64/vendor.mediatek.hardware.mms@1.4.so	23769ea80c13c068b1ca5a5f1dc30b0a7b079e121d5f27dde4d30f95baaaf437	No matching source implementation established in this bounded inventory; see family discussion	retained_unchanged	vendor/lib64/vendor.mediatek.hardware.mms@1.4.so	retained vendor payload
RETAIN-ELF	matching_source_unknown	graphics	64	vendor/lib64/vendor.mediatek.hardware.mms@1.5.so	vendor/lib64/vendor.mediatek.hardware.mms@1.5.so	5b47e36faec551e4fe3207af31cc91b9297f29ec82b4a7071c51bb42ec50238f	No matching source implementation established in this bounded inventory; see family discussion	retained_unchanged	vendor/lib64/vendor.mediatek.hardware.mms@1.5.so	retained vendor payload
RETAIN-ELF	matching_source_unknown	graphics	64	vendor/lib64/vendor.mediatek.hardware.pq@2.0.so	vendor/lib64/vendor.mediatek.hardware.pq@2.0.so	d612cabb77d4f8892278d3a145ed00b848f750576a63346fea4f11a3fa1d12be	No matching source implementation established in this bounded inventory; see family discussion	retained_unchanged	vendor/lib64/vendor.mediatek.hardware.pq@2.0.so	retained vendor payload
RETAIN-ELF	matching_source_unknown	graphics	64	vendor/bin/hw/vendor.mediatek.hardware.mms@1.5-service	vendor/bin/hw/vendor.mediatek.hardware.mms@1.5-service	1a53058ed32241992f82edf8ea3d8bb5da857bf1bd0abc4cf40b78d83119c3c4	No matching source implementation established in this bounded inventory; see family discussion	retained_unchanged	vendor/bin/hw/vendor.mediatek.hardware.mms@1.5-service	retained vendor payload
RETAIN-ELF	matching_source_unknown	graphics	64	vendor/bin/hw/vendor.mediatek.hardware.pq@2.2-service	vendor/bin/hw/vendor.mediatek.hardware.pq@2.2-service	859928c744e3eec38623b2024a960bef3faa27a9ab7842d9b2a12c82c053c0b1	No matching source implementation established in this bounded inventory; see family discussion	retained_unchanged	vendor/bin/hw/vendor.mediatek.hardware.pq@2.2-service	retained vendor payload
RETAIN-DATA	configuration_or_resource	graphics	data	vendor/etc/init/vendor.mediatek.hardware.mms@1.5-service.rc	vendor/etc/init/vendor.mediatek.hardware.mms@1.5-service.rc	6e7a106df35232ebf75b8e59898eaf573d803e274a953641453a9ad4369a724a	Init, configuration, certificates, or tuning data; retain board/carrier values unless paired with a source migration	retained_unchanged	vendor/etc/init/vendor.mediatek.hardware.mms@1.5-service.rc	retained vendor payload
RETAIN-DATA	configuration_or_resource	graphics	data	vendor/etc/init/vendor.mediatek.hardware.pq@2.2-service.rc	vendor/etc/init/vendor.mediatek.hardware.pq@2.2-service.rc	1de61b823621c11eedf426fffcd13fe7fdbbf1166ab13851a1ec074d876c2a5d	Init, configuration, certificates, or tuning data; retain board/carrier values unless paired with a source migration	retained_unchanged	vendor/etc/init/vendor.mediatek.hardware.pq@2.2-service.rc	retained vendor payload
RETAIN-ELF	matching_source_unknown	graphics	64	vendor/lib64/hw/vendor.mediatek.hardware.mms@1.5-impl.so	vendor/lib64/hw/vendor.mediatek.hardware.mms@1.5-impl.so	4bad08afe6266bf786c116b3e796f00de9b44433a604df8b2de68826dc5e9f40	No matching source implementation established in this bounded inventory; see family discussion	retained_unchanged	vendor/lib64/hw/vendor.mediatek.hardware.mms@1.5-impl.so	retained vendor payload
RETAIN-ELF	matching_source_unknown	graphics	64	vendor/lib64/hw/vendor.mediatek.hardware.pq@2.3-impl.so	vendor/lib64/hw/vendor.mediatek.hardware.pq@2.3-impl.so	c3ab8d34bca9679316cd6ba85294cab2375eeebda6554dd70e15c579ec7f1ddb	No matching source implementation established in this bounded inventory; see family discussion	retained_unchanged	vendor/lib64/hw/vendor.mediatek.hardware.pq@2.3-impl.so	retained vendor payload
RETAIN-ELF	matching_source_unknown	graphics	64	vendor/lib64/vendor.mediatek.hardware.pq@2.1.so	vendor/lib64/vendor.mediatek.hardware.pq@2.1.so	2cc4e78e0a64d65a4646c03186efad365e77a4d14537d47d9ced5e7658a56c30	No matching source implementation established in this bounded inventory; see family discussion	retained_unchanged	vendor/lib64/vendor.mediatek.hardware.pq@2.1.so	retained vendor payload
RETAIN-ELF	matching_source_unknown	graphics	64	vendor/lib64/vendor.mediatek.hardware.pq@2.2.so	vendor/lib64/vendor.mediatek.hardware.pq@2.2.so	33f515cd41716ad8a8475f5b3595921c4bf3b6da7a304a0ccaa0f019d808e527	No matching source implementation established in this bounded inventory; see family discussion	retained_unchanged	vendor/lib64/vendor.mediatek.hardware.pq@2.2.so	retained vendor payload
RETAIN-ELF	matching_source_unknown	graphics	64	vendor/lib64/vendor.mediatek.hardware.pq@2.3.so	vendor/lib64/vendor.mediatek.hardware.pq@2.3.so	c758a979c2b224d961eb4a8f2444576947c5c3ef91346860a5b3d46474db14b1	No matching source implementation established in this bounded inventory; see family discussion	retained_unchanged	vendor/lib64/vendor.mediatek.hardware.pq@2.3.so	retained vendor payload
SR09	source_backport	sensors	64	vendor/bin/hw/android.hardware.sensors@2.0-service-mediatek	vendor/bin/hw/android.hardware.sensors@2.0-service	36c0d5f36c40d4fd9f035e0155a99fcd9c2574bdf7eef32c95ae879088bf90fe	AOSP R 2.0 Multi-HAL plus LineageOS 805d2534 sensors legacy sub-HAL	removed_paired_source_provider	vendor/bin/hw/android.hardware.sensors@2.0-service	device/xsh/k50sv1_64_bsp/sensors-hal
RETAIN-ELF	matching_source_unknown	sensors	64	vendor/lib64/hw/sensors.mt6755.so	vendor/lib64/hw/sensors.mt6755.stock.so	57faa0a1d39ee3b65c32f49b3cc786dbd8fac5c02e58353ad533cec1212de516	No matching source implementation established in this bounded inventory; see family discussion	retained_unchanged	vendor/lib64/hw/sensors.mt6755.stock.so	retained vendor payload
RETAIN-ELF	matching_source_unknown	sensors	64	vendor/lib64/libaedv.so	vendor/lib64/libaedv.so	71b71dc159b0ae19df05948198fc39256a97f6b47fda8085b7dbc3e9ad9e7526	No matching source implementation established in this bounded inventory; see family discussion	retained_unchanged	vendor/lib64/libaedv.so	retained vendor payload
RETAIN-ELF	matching_source_unknown	sensors	64	vendor/lib64/libksensor.so	vendor/lib64/libksensor.so	19f38f44ba37bea1cc6976f4890ae377cf37f7337b60612ea46558fcfd7262f8	No matching source implementation established in this bounded inventory; see family discussion	retained_unchanged	vendor/lib64/libksensor.so	retained vendor payload
SR15	source_port	legacy-hals	64	vendor/lib64/hw/lights.mt6755.so	vendor/lib64/hw/lights.mt6755.so	734608bd56106d6a2a7bdf6ba58a08ba843300c42e0190e75d35dbea0130071d	AOSP hardware/lights.h and public LED sysfs implementations; board mapping required	retained_unchanged	vendor/lib64/hw/lights.mt6755.so	retained vendor payload
SR16	source_port	legacy-hals	64	vendor/lib64/hw/memtrack.mt6755.so	vendor/lib64/hw/memtrack.mt6755.so	2017306dbd92b10dd2ea7158907a3756b4ed2a29620c25661478b6115e4700b4	LineageOS android_hardware_mediatek 3c04cf3 aidl/memtrack parsers; legacy HMI adapter required	retained_unchanged	vendor/lib64/hw/memtrack.mt6755.so	retained vendor payload
SR17	source_port	legacy-hals	64	vendor/lib64/hw/thermal.mt6755.so	vendor/lib64/hw/thermal.mt6755.so	f64190c6a0a20b31d547392a58e56dd65d5f0b3d339b8e6b5ac733c255411c41	AOSP hardware/libhardware/modules/thermal with real MTK temp nodes and units	retained_unchanged	vendor/lib64/hw/thermal.mt6755.so	retained vendor payload
RETAIN-ELF	matching_source_unknown	thermal	32	vendor/bin/fuelgauged	vendor/bin/fuelgauged	d992215149dcccd7e9b44ec33327683ea502a830ac87665f8138e20c58974018	No matching source implementation established in this bounded inventory; see family discussion	retained_unchanged	vendor/bin/fuelgauged	retained vendor payload
RETAIN-ELF	matching_source_unknown	thermal	64	vendor/bin/thermal	vendor/bin/thermal	311c6b51f0b445c060601a2e2aa2d31c597119ebd207242a0850ad60c858b321	No matching source implementation established in this bounded inventory; see family discussion	retained_unchanged	vendor/bin/thermal	retained vendor payload
RETAIN-ELF	matching_source_unknown	thermal	32	vendor/bin/thermal_manager	vendor/bin/thermal_manager	bbb0fd6071d1151394766417bc82ba7fd2806a5416cd366bf060a70a2e8e16ae	No matching source implementation established in this bounded inventory; see family discussion	retained_unchanged	vendor/bin/thermal_manager	retained vendor payload
